"sample_id","subclass_label","Kcnc1","Kcnd1","Kcnd2","Kcnd3","Kcnab1","Kcnip1","Kcnip2","Hcn1","Hcn2","Hcn3","Cacna1g","Scn1a","Scn3a","Scn8a"
"LS-15089_S75_E1-50","L4",2.9569280932244,0,4.48122062774168,3.91166648110977,6.44061192471893,0,0,4.44721066689285,0,0,4.98646917303418,7.61570504975881,5.12198697366321,7.06276902032421
"LS-15089_S76_E1-50","L4",0,0,4.31688368634738,0,4.19791851527832,0,3.38751362454284,4.06825460468015,0,2.22677688945351,6.00226683831082,6.53131793146448,4.4616298171833,6.41166665700296
"LS-15089_S77_E1-50","L4",3.3744907487633,0,5.26619509485929,7.54752985355842,6.65441834264284,0,7.98498302268463,6.23456030548733,4.03521079696888,0,8.01888656739952,2.81234411319809,9.0888443749843,9.14621251465334
"LS-15089_S78_E1-50","L4",0,0,8.05392206354674,2.30571481044334,7.48364310690306,0,2.5680696924922,6.21838018826831,0,0,4.22870759518053,7.31522166791917,4.83839036803765,9.00626739765147
"LS-15089_S79_E1-50","L4",3.65848699512932,0,7.25987240425954,0,7.15167613048162,0,0,0,1.41200036086141,0,0,6.81109767076111,3.77976228889043,8.22877336318613
"LS-15089_S80_E1-50","L4",4.23918311339978,0,5.4301758324775,3.43402839673221,6.46136755849342,0,4.72166935849574,6.57048514859144,1.10693987695644,1.95780596475115,6.91201374855191,2.33302019862772,3.64833081896593,8.67966137408432
"LS-15089_S89_E1-50","L4",4.19510825769499,0,7.09254313766401,8.16610873287354,6.73375744054411,0,7.80131750065519,0,0,0,7.2838662648423,5.00309240555409,2.19069597612385,6.07064499049351
"LS-15089_S90_E1-50","L4",4.7874980962207,0,4.66927734932701,8.03199320108988,7.65423671960143,0,6.71084745970041,0,3.91871463380555,0,5.57640123115499,7.79144281044461,6.19469458887377,8.0557495807131
"LS-15089_S91_E1-50","L4",6.86213882258258,0,6.38466169113168,5.05190874402957,6.58950824007899,0,0,0,0.684392574143482,0,5.40182550849234,5.20220174137663,0.684392574143482,8.07309800440925
"LS-15089_S92_E1-50","L4",5.5027447915899,0,6.13446119167295,5.80228375855726,5.73640013902576,0,6.99487688013213,0,2.16591051941356,0,0,6.75643537540715,4.69547512594952,9.13567540255184
"LS-15089_S93_E1-50","L4",5.8646687116681,0,6.58868765400367,7.87219963538961,4.84451062225784,0,5.04222168955585,0,0,0,4.4260263941496,7.35017078770034,7.50182266487868,7.84597891124424
"LS-15089_S94_E1-50","L4",0,0,6.22423826038318,7.00922287950836,0.589975277601991,0,6.31857839594787,0,1.81807534025465,0,5.05892864570354,7.13382019034233,4.3718109414363,8.2699661468854
"LS-15089_S95_E1-50","L4",7.63384373584068,0,5.78756868561343,6.41463170747662,5.88255086664066,0,0,0,1.38460599155605,6.46811647521701,3.41495251854487,4.95754874393785,1.38460599155605,7.06798851500852
"LS-15089_S96_E1-50","L4",0,0,5.81340338090623,7.70046200301327,7.18528079542193,0,0,7.10099253906418,0,0,4.04321540717925,7.49287439168547,6.19515953972816,8.24556909790116
"LS-15090_S01_E1-50","L2/3 IT",4.54093004975369,0,6.99146726609301,5.72746612114441,0,0,5.91670352339974,0,2.68837526426673,0,0,6.37821925147809,3.74168043738371,7.36085694077184
"LS-15090_S02_E1-50","L2/3 IT",4.976025150344,0,6.91718053203274,5.17166749681695,0,0,7.01672874244535,6.14116989767304,2.47790841310763,5.75004902414757,2.92645491966317,5.97638618063356,6.16178474501764,6.4980328093966
"LS-15090_S03_E1-50","L2/3 IT",2.69762142578493,0,6.29225052755382,6.27190509406348,0,0,4.8843066391623,0,3.82472257406285,0,3.58190910196713,0,6.43633025926065,6.67195271807047
"LS-15090_S04_E1-50","L2/3 IT",3.81580986695402,0,0,4.44709851834181,0,0,7.1308070821495,0,0,0,5.49198326215507,3.39429344170874,6.92734942692017,7.8525566134317
"LS-15090_S05_E1-50","L2/3 IT",5.78804350329054,3.18791921195361,5.78804350329054,4.2285949802216,0,0,2.47600265917569,0,1.33409876880044,0,4.9021897733327,6.69245618851429,3.34014581880841,6.3950251911564
"LS-15090_S06_E1-50","L2/3 IT",6.56747647573157,0,2.33058349114316,5.1515181892133,0,0,4.68685074711508,0,3.08482083142685,0,0,5.73852837445039,6.95658561622809,7.28952309633383
