cell_reporter_status,csl__normalized_depth,csl__x,csl__y,csl__z,donor__age,donor__disease_state,donor__id,donor__name,donor__race,donor__sex,donor__species,donor__years_of_seizure_history,ef__adaptation,ef__avg_firing_rate,ef__avg_isi,ef__f_i_curve_slope,ef__fast_trough_v_long_square,ef__peak_t_ramp,ef__ri,ef__tau,ef__threshold_i_long_square,ef__upstroke_downstroke_ratio_long_square,ef__vrest,ephys_inst_thresh_thumb_path,ephys_thumb_path,erwkf__id,line_name,m__biophys,m__biophys_all_active,m__biophys_perisomatic,m__glif,morph_thumb_path,nr__average_contraction,nr__average_parent_daughter_ratio,nr__max_euclidean_distance,nr__number_bifurcations,nr__number_stems,nr__reconstruction_type,nrwkf__id,si__height,si__path,si__width,specimen__hemisphere,Cell_id,specimen__name,structure__acronym,structure__id,structure__layer,structure__name,structure_parent__acronym,structure_parent__id,tag__apical,tag__dendrite_type
positive,,8800.0,1509.19535120383,8290.19057305803,,,567967496,Ndnf-IRES2-dgCre;Ai14-298342,,,Mus musculus,,0.028137610780521,24.6215770655362,40.6147826086956,0.519230769230769,-62.4687538146973,4.65584666666667,259.218782186508,22.5434817849699,70.0,1.26883368031545,-67.5722885131836,/api/v2/well_known_file_download/569894481,/api/v2/well_known_file_download/569894479,659445655,Ndnf-IRES2-dgCre,0,0,0,0,,,,,,,,,,,,left,569251652,Ndnf-IRES2-dgCre;Ai14-298342.03.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,NA,aspiny
positive,,7631.75201212355,1099.21818255856,3149.87553233724,,,583091069,Scnn1a-Tg3-Cre;Ai14-315865,,,Mus musculus,,0.0313277294658275,8.82723833543508,113.285714285714,0.138574224170005,-45.375,6.77518,105.156287550926,19.984694528078,150.0,4.1165750171371,-77.1263198852539,/api/v2/well_known_file_download/606111015,/api/v2/well_known_file_download/606111010,659447475,Scnn1a-Tg3-Cre,0,0,0,0,,,,,,,,,,,,right,584073525,Scnn1a-Tg3-Cre;Ai14-315865.07.02.01,VISa5,312782562,5,"""Anterior area, layer 5""",VISa,312782546,truncated,spiny
positive,0.245349390113412,8281.61887709385,572.927861294391,7468.47064132014,,,584630446,Chat-IRES-Cre-neo;Ai14-316042,,,Mus musculus,,-0.00336362492503828,8.37748968521582,119.3675,0.192480084539713,-51.7500038146973,6.87122,148.281171917915,9.93771925314818,140.0,3.23805626482278,-73.5035018920898,/api/v2/well_known_file_download/606111578,/api/v2/well_known_file_download/606111575,659441041,Chat-IRES-Cre-neo,0,0,0,5,/api/v2/well_known_file_download/662054760,0.888544424463225,0.993785191940789,360.033284695846,38.0,2.0,full,636787959.0,9457.0,/external/mousecelltypes/prod1119/specimen_586072783/min_xy_586072783.aff,7602.0,left,586072783,Chat-IRES-Cre-neo;Ai14-316042.06.01.01,VISpm2/3,41,2/3,"""posteromedial visual area, layer 2/3""",VISpm,533,NA,aspiny
positive,,9792.14703860825,2149.6617565981,8652.21592011462,,,325632989,Sst-IRES-Cre;Ai14(IVSCC)-175900,,,Mus musculus,,0.00940266219274576,27.7403732236047,36.0485416666667,0.383654869478821,-53.96875,3.02337166666667,331.093698740005,23.8935465090074,50.0,2.1987673792063,-76.3174057006836,/api/v2/well_known_file_download/491376265,/api/v2/well_known_file_download/491376263,664827651,Sst-IRES-Cre,0,0,0,0,,,,,,,,,,,,left,328954223,Sst-IRES-Cre;Ai14-175900.01.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,NA,aspiny
positive,0.375519043956798,8930.0,1036.19126352369,3290.00277004188,,,501894830,Nr5a1-Cre;Ai14-230420,,,Mus musculus,,0.0312285178579278,16.1051343168202,62.092,0.0404191616766468,-54.40625,3.10133333333333,174.999997019768,23.8389264037831,70.0,4.1402373115282,-77.4748916625977,/api/v2/well_known_file_download/511853159,/api/v2/well_known_file_download/511853157,515387301,Nr5a1-Cre,0,0,0,5,,,,,,,,,7584.0,/external/mousecelltypes/prod673/specimen_502245101/min_xy_502245099.aff,7584.0,right,502245101,Nr5a1-Cre;Ai14-230420.04.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,0.576695503193993,8757.90262875926,1326.495787594,2971.5259229771,,,562296704,Tlx3-Cre_PL56;Ai14-290602,,,Mus musculus,,0.0294630131598367,10.5997079191596,94.3422222222222,0.139333333333333,-46.1562538146973,2.94552666666667,187.656253576279,30.1877602139359,50.0,3.89682104465532,-65.5843048095703,/api/v2/well_known_file_download/565422989,/api/v2/well_known_file_download/565422987,659449425,Tlx3-Cre_PL56,0,0,0,2,,,,,,,,,,,,right,563353582,Tlx3-Cre_PL56;Ai14-290602.06.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,0.460650199450214,8929.99999999999,825.020729215313,3828.6789357456,,,475849732,Scnn1a-Tg2-Cre;Ai14(IVSCC)-185900,,,Mus musculus,,0.0273849560215546,13.9428130161522,71.7215384615385,0.172544649825716,-41.5937538146973,4.519095,158.125042915344,18.7131489490003,90.0,4.1500095692424,-72.2956085205078,/api/v2/well_known_file_download/491376424,/api/v2/well_known_file_download/491376422,491202026,Scnn1a-Tg2-Cre,0,0,0,2,,,,,,,,,,,,right,476056333,Scnn1a-Tg2-Cre;Ai14-185900.03.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,,8984.49353913,1988.4790077321,8948.5802468198,,,589751715,Vip-IRES-Cre;Ai14-319672,,,Mus musculus,,0.0222369736103171,26.6786186878388,37.4832,-0.0529154545647059,-53.3125038146973,1.72131,153.125375509262,12.3702544796418,20.0,2.84119412025811,-70.1241836547852,/api/v2/well_known_file_download/606112205,/api/v2/well_known_file_download/606112203,644942012,Vip-IRES-Cre,0,0,0,5,,,,,,,,,,,,left,591616101,Vip-IRES-Cre;Ai14-319672.04.01.01,VISl6a,74,6a,"""Lateral visual area, layer 6a""",VISl,409,NA,sparsely spiny
positive,0.0659753416672078,9021.72589074656,1472.11598110279,1988.14618161033,,,525841145,Ndnf-IRES2-dgCre;Ai14-255267,,,Mus musculus,,-0.00271168534922136,22.2500052976203,44.9438095238095,0.346889400921659,-52.1875038146973,4.77569333333333,185.937389731407,9.6800921378622,80.0,2.86643668748244,-68.2628784179688,/api/v2/well_known_file_download/527591619,/api/v2/well_known_file_download/527591617,566093765,Ndnf-IRES2-dgCre,0,0,0,2,,,,,,,,,,,,right,526801742,Ndnf-IRES2-dgCre;Ai14-255267.04.02.01,VISl2/3,973,2/3,"""Lateral visual area, layer 2/3""",VISl,409,NA,aspiny
positive,,9167.91611906307,1422.76975424899,7937.90877699493,,,592585141,Vip-IRES-Cre;Ai14-324779,,,Mus musculus,,0.00533170847259071,28.3165793572137,35.315,0.398581713003616,-46.65625,2.93597333333333,265.624821186066,15.7457263935606,60.0,3.05104755345317,-59.9242706298828,/api/v2/well_known_file_download/606115578,/api/v2/well_known_file_download/606115576,646542039,Vip-IRES-Cre,0,0,0,0,,,,,,,,,,,,left,594611511,Vip-IRES-Cre;Ai14-324779.02.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,NA,aspiny
positive,0.407632390691466,7975.66934949808,678.460296707147,3976.43027181231,,,560045375,Chat-IRES-Cre-neo;Ai14-284952,,,Mus musculus,,,30.9214594928881,32.34,0.025,-43.3437538146973,3.92110666666667,294.97754573822,16.558859766145,70.0,2.79937544623726,-66.4008865356445,/api/v2/well_known_file_download/561767877,/api/v2/well_known_file_download/561767875,659440791,Chat-IRES-Cre-neo,0,0,0,0,,,,,,,,,,,,right,560817063,Chat-IRES-Cre-neo;Ai14-284952.05.02.01,VISam4,401,4,"""Anteromedial visual area, layer 4""",VISam,394,NA,aspiny
positive,0.692777507238575,7880.78638542467,1084.2893310014,8006.23164577385,,,520637948,Htr3a-Cre_NO152;Ai14-249978,,,Mus musculus,,-0.000615320077857109,13.3300748705872,75.0183333333333,0.211785731935825,-50.7500038146973,5.65996666666667,158.437460660934,12.4139378399352,130.0,3.66156688619293,-79.3397979736328,/api/v2/well_known_file_download/524265923,/api/v2/well_known_file_download/524265921,659442276,Htr3a-Cre_NO152,0,0,0,0,,,,,,,,,,,,left,522260194,Htr3a-Cre_NO152;Ai14-249978.06.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.378643086508671,8182.00000000001,896.497622346175,8111.51677676939,,,481097250,Nr5a1-Cre;Ai14-199362,,,Mus musculus,,0.0483089979191324,14.2881806978586,69.9879166666667,0.182500009277888,-53.4062538146973,4.02732833333333,148.749962449074,20.1432456387067,110.0,4.41229348085735,-83.5632095336914,/api/v2/well_known_file_download/491384547,/api/v2/well_known_file_download/484629158,496158656,Nr5a1-Cre,0,0,0,5,,,,,,,,,7596.0,/external/mousecelltypes/prod466/specimen_482726727/min_xy_482726727.aff,7590.0,left,482726727,Nr5a1-Cre;Ai14-199362.05.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,0.527057858756491,8188.20321673797,823.123144420786,3623.81205069811,,,489768913,Scnn1a-Tg2-Cre;Ai14-215165,,,Mus musculus,,0.00710291180966301,19.1366195161625,52.2558333333333,0.271951219512195,-49.8750038146973,3.15939833333333,248.571425676346,25.5804550670923,50.0,3.00179795555668,-75.8354644775391,/api/v2/well_known_file_download/491612054,/api/v2/well_known_file_download/490268791,497262509,Scnn1a-Tg2-Cre,0,0,0,0,,,,,,,,,,,,right,490267219,Scnn1a-Tg2-Cre;Ai14-215165.05.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,,8600.0,1482.49380043078,8580.80660561417,,,562296623,Vip-IRES-Cre;Ai14-290643,,,Mus musculus,,0.0162126099623268,37.9330692067774,26.3622222222222,0.590019371248296,-54.46875,2.19361,278.786152601242,12.7423252265063,30.0,3.40775454138428,-72.5860214233398,/api/v2/well_known_file_download/564084002,/api/v2/well_known_file_download/564084000,659449435,Vip-IRES-Cre,0,0,0,0,,,,,,,,,,,,left,562527850,Vip-IRES-Cre;Ai14-290643.04.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,,8513.01591239199,1145.22683679831,8024.82730463018,,,579672302,Esr2-IRES2-Cre;Ai14-311706,,,Mus musculus,,0.0432064420949242,10.8975197245107,91.764,0.13961038961039,-41.625,3.79612,140.156209468842,16.1963655932066,110.0,3.56465165324193,-65.27490234375,/api/v2/well_known_file_download/587867610,/api/v2/well_known_file_download/587867607,659441765,Esr2-IRES2-Cre,0,0,0,0,,,,,,,,,,,,left,580634942,Esr2-IRES2-Cre;Ai14-311706.06.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,0.887222525871973,8720.331244623,1450.84114667759,8153.16413023205,,,319194366,Pvalb-IRES-Cre;Ai14(IVSCC)-170929,,,Mus musculus,,0.00661822939739147,41.9555373634526,23.834756097561,1.03439201451906,-62.71875,8.87707166666667,115.000002086163,8.41077145937001,170.0,1.29428584053026,-71.0717086791992,/api/v2/well_known_file_download/491383760,/api/v2/well_known_file_download/491383758,491199875,Pvalb-IRES-Cre,1,0,1,0,/api/v2/well_known_file_download/487660489,0.869973898977097,0.800150307179723,380.095565927794,18.0,8.0,full,491458277.0,5749.0,/external/mousecelltypes/prod132/specimen_466245544/min_xy_320393368.aff,7583.0,left,466245544,Pvalb-IRES-Cre;Ai14-170929.04.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,NA,aspiny
positive,,8600.0,1118.66425309072,8725.39278543664,,,562377331,Chat-IRES-Cre-neo;Ai14-292724,,,Mus musculus,,0.0147373252730457,28.4269731365104,35.1778571428571,0.495173882185947,-53.3125038146973,2.54407,246.875002980232,9.0760962828304,40.0,2.82410589382991,-70.7172088623047,/api/v2/well_known_file_download/565884963,/api/v2/well_known_file_download/565884961,659440888,Chat-IRES-Cre-neo,0,0,0,0,,,,,,,,,,,,left,563790168,Chat-IRES-Cre-neo;Ai14-292724.05.01.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,,9466.30884574835,2526.06996154454,2022.51257290843,,,596166425,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-329542,,,Mus musculus,,,,,0.061703821656051,-40.34375,5.71792666666667,206.406205892563,36.642088912424,70.0,3.90211971812292,-69.2501220703125,/api/v2/well_known_file_download/606115748,/api/v2/well_known_file_download/606115701,646446307,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,0,0,0,2,,,,,,,,,,,,right,596789749,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-329542.03.02.01,VISpor6a,312782648,6a,"""Postrhinal area, layer 6a""",VISpor,312782628,truncated,spiny
positive,,8113.23628444788,822.318257219983,3847.05141526822,,,583088556,Oxtr-T2A-Cre;Ai14-314784,,,Mus musculus,,-0.0182778504224065,10.0919488674591,99.0888888888889,0.157304819550135,-49.0000038146973,7.99655333333333,89.84375,17.8835916770573,220.0,4.3270958832479,-71.9843597412109,/api/v2/well_known_file_download/606111254,/api/v2/well_known_file_download/606111250,646542120,Oxtr-T2A-Cre,0,0,0,2,,,,,,,,,,,,right,584671501,Oxtr-T2A-Cre;Ai14-314784.05.02.01,VISpm5,565,5,"""posteromedial visual area, layer 5""",VISpm,533,NA,aspiny
negative,0.521081343817295,8231.02403432538,1103.52446195171,8349.38198023195,,,480151906,Rorb-IRES2-Cre-D;Ai14-197715,,,Mus musculus,,,,,0.17140978846557,-63.8750038146973,,100.156210362911,6.43772611127244,410.0,1.15057866604737,-72.4266738891602,/api/v2/well_known_file_download/491383956,/api/v2/well_known_file_download/485471974,491175077,Rorb-IRES2-Cre,0,0,0,2,,,,,,,,,,,,left,480777144,Rorb-IRES2-Cre-D;Ai14-197715.06.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,NA,aspiny
positive,0.776493459211386,8148.80996541629,1062.20024393033,7843.21042822986,,,397332081,Htr3a-Cre_NO152;Ai14(IVSCC)-178904,,,Mus musculus,,0.0267437901275671,8.88040317030393,112.6075,0.100499994331359,-43.9375,13.0267716666667,106.250002980232,6.65957628152998,230.0,4.84387142104251,-78.2598419189453,/api/v2/well_known_file_download/491377923,/api/v2/well_known_file_download/487610447,491197968,Htr3a-Cre_NO152,0,0,0,0,,,,,,,,,,,,left,442627661,Htr3a-Cre_NO152;Ai14-178904.06.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.574411220218691,8994.0,1196.8001951052,8140.2817922989,,,479695199,Rorb-IRES2-Cre-D;Ai14-197352,,,Mus musculus,,0.0429870482885677,12.5906923306945,79.42375,0.264285714285714,-53.3437538146973,3.199065,348.437339067459,35.4837583971072,50.0,2.74371666566646,-71.2270584106445,/api/v2/well_known_file_download/491382731,/api/v2/well_known_file_download/491382724,496605989,Rorb-IRES2-Cre,0,0,0,2,/api/v2/well_known_file_download/511010015,0.906893441378249,0.910281479878052,605.447018848586,26.0,8.0,dendrite-only,510989745.0,9439.0,/external/mousecelltypes/prod442/specimen_480122859/min_xy_480122859.aff,7596.0,left,480122859,Rorb-IRES2-Cre-D;Ai14-197352.04.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,0.403534114627296,9374.26652148779,1124.18598514658,8122.70530640773,,,339692362,Nr5a1-Cre;Ai14(IVSCC)-177334,,,Mus musculus,,,,,-6.79763779037998e-19,-54.5000038146973,,152.901783585548,9.66925859080562,130.0,3.68581933014659,-66.8385391235352,/api/v2/well_known_file_download/491376608,/api/v2/well_known_file_download/483152194,487096697,Nr5a1-Cre,0,0,0,0,,,,,,,,,7618.0,/external/mousecelltypes/prod258/specimen_386867406/min_xy_386867406.aff,7609.0,left,386867406,Nr5a1-Cre;Ai14-177334.03.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,NA,aspiny
positive,0.462454055778208,9583.1114748472,1259.60876889002,3091.71944941875,,,475849756,Scnn1a-Tg3-Cre;Ai14(IVSCC)-187852,,,Mus musculus,,0.0508931889837846,15.6207287069942,64.0175,0.0833333390856543,-42.5625038146973,2.95714666666667,203.571513295174,17.2304328794382,70.0,3.39098615125554,-66.6489105224609,/api/v2/well_known_file_download/491378023,/api/v2/well_known_file_download/489911414,496603231,Scnn1a-Tg3-Cre,0,0,0,0,,,,,,,,,,,,right,476198393,Scnn1a-Tg3-Cre;Ai14-187852.03.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,,8976.63502144556,1312.47491235169,8078.41298228141,,,573111215,Htr3a-Cre_NO152;Ai14-306203,,,Mus musculus,,0.016091538092906,19.6203969516099,50.9673684210526,0.289450435806353,-51.9687538146973,4.0748,223.437502980232,10.2654685963933,110.0,2.79663881908658,-70.1263198852539,/api/v2/well_known_file_download/587853295,/api/v2/well_known_file_download/587853291,659442432,Htr3a-Cre_NO152,0,0,0,0,,,,,,,,,,,,left,575001377,Htr3a-Cre_NO152;Ai14-306203.03.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.397683455984026,8973.94389088024,836.746975297777,7802.03040647458,,,584630456,Chat-IRES-Cre-neo;Ai14-316043,,,Mus musculus,,-0.0775451625723709,5.83880234486302,171.268,0.15639534722669,-46.1875,5.85112666666667,175.781056284904,9.46264827094439,120.0,3.44398798306733,-73.0111694335938,/api/v2/well_known_file_download/606111469,/api/v2/well_known_file_download/606111466,657593505,Chat-IRES-Cre-neo,0,0,0,2,/api/v2/well_known_file_download/662054943,0.900082477804188,0.998836832872835,389.854359329135,43.0,3.0,full,610886036.0,9432.0,/external/mousecelltypes/prod1119/specimen_585944237/min_xy_585944237.aff,5746.0,left,585944237,Chat-IRES-Cre-neo;Ai14-316043.05.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,NA,aspiny
positive,0.190485828104889,8755.21531421366,669.553758997477,3616.47566922785,,,484776344,Pvalb-IRES-Cre;Ai14-202474,,,Mus musculus,,0.00126942248117206,82.948386081833,12.0556896551724,0.254801324503311,-59.1562538146973,22.651585,51.5625067055225,6.26270143713968,590.0,1.22528456551036,-80.1526336669922,/api/v2/well_known_file_download/491383748,/api/v2/well_known_file_download/485254390,491317030,Pvalb-IRES-Cre,0,0,0,0,,,,,,,,,7606.0,/external/mousecelltypes/prod492/specimen_485253111/min_xy_485253111.aff,7592.0,right,485253111,Pvalb-IRES-Cre;Ai14-202474.03.02.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,0.352458172171097,8617.64837926385,764.858810235762,3581.78721390095,,,579671688,Nkx2-1-CreERT2;Ai14 (IVSCC)-311671,,,Mus musculus,,-0.000403532615773039,115.200388043412,8.68052631578947,0.943692178301093,-62.6250076293945,13.83984,60.0961521267891,5.67380774371106,570.0,1.11842915301859,-69.0933380126953,/api/v2/well_known_file_download/606110810,/api/v2/well_known_file_download/606110806,659445847,Nkx2-1-CreERT2,0,0,0,0,,,,,,,,,,,,right,580507567,Nkx2-1-CreERT2;Ai14 (IVSCC)-311671.04.02.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,0.661981427377085,8953.33467809805,1773.60116712577,2437.48115854575,,,469953478,Sst-IRES-Cre;Ai14(IVSCC)-181378,,,Mus musculus,,,24.8138957816377,40.3,0.0399737895270484,-55.5000038146973,7.59895,267.812460660934,41.0174520852007,70.0,1.84928547510257,-70.2219848632812,/api/v2/well_known_file_download/491378289,/api/v2/well_known_file_download/487637331,496281345,Sst-IRES-Cre,0,0,0,5,/api/v2/well_known_file_download/487661940,0.873222461480447,0.874081129042083,291.978915157653,45.0,8.0,dendrite-only,491771217.0,7594.0,/external/mousecelltypes/prod340/specimen_473011949/min_xy_473011949.aff,9434.0,right,473011949,Sst-IRES-Cre;Ai14-181378.04.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.445178936918661,8462.86606980505,499.457477839691,6634.23008221662,,,531009442,Chat-IRES-Cre-neo;Ai14-261748,,,Mus musculus,,0.302196627118039,64.4953240890035,15.505,0.0544477234401349,-62.5312538146973,7.22576666666667,167.008861899376,19.1120493673779,80.0,1.56039545356107,-72.6638336181641,/api/v2/well_known_file_download/538758078,/api/v2/well_known_file_download/538758076,567444935,Chat-IRES-Cre-neo,0,0,0,2,,,,,,,,,,,,left,531342116,Chat-IRES-Cre;Ai14-261748.05.01.01,RSPd5,610,5,"""Retrosplenial area, dorsal part, layer 5""",RSPd,879,NA,aspiny
positive,,8964.63653901443,1275.88619563674,8449.83734189414,,,586426438,Tlx3-Cre_PL56;Ai14-318845,,,Mus musculus,,0.0232951084573418,8.99968501102462,111.115,0.114772729936052,-60.9687538146973,4.52119333333333,127.812579274178,30.0418813121173,110.0,4.14717270704462,-84.487548828125,/api/v2/well_known_file_download/606111922,/api/v2/well_known_file_download/606111920,652788635,Tlx3-Cre_PL56,0,0,0,0,,,,,,,,,,,,left,588728161,Tlx3-Cre_PL56;Ai14-318845.05.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,,9624.45412753748,1835.39849958158,1859.69403509301,,,554221045,Ndnf-IRES2-dgCre;Ai14-278511,,,Mus musculus,,-7.72444927678705e-05,40.8738836320533,24.4655,0.512837837837838,-50.9062538146973,3.78954,332.187533378601,15.6211128877234,70.0,2.70333523688084,-69.1451034545898,/api/v2/well_known_file_download/557426332,/api/v2/well_known_file_download/557426330,659442625,Ndnf-IRES2-dgCre,0,0,0,0,,,,,,,,,,,,right,555781149,Ndnf-IRES2-dgCre;Ai14-278511.03.02.01,VISl1,421,1,"""Lateral visual area, layer 1""",VISl,409,NA,aspiny
positive,0.989137594016134,9307.98891323987,2548.79924571356,9184.68031480288,,,525483204,Ctgf-2A-dgCre;Ai14(IVSCC)-252900,,,Mus musculus,,0.0112589502031591,10.5253309631847,95.0088888888889,0.152747249209409,-51.1875038146973,3.48072,203.906327486038,21.5441395481428,90.0,4.98288455754513,-71.2786102294922,/api/v2/well_known_file_download/527582384,/api/v2/well_known_file_download/527582382,544782002,Ctgf-T2A-dgCre,0,0,0,0,/api/v2/well_known_file_download/543111729,0.879795309061225,0.824379392041317,440.885091773219,24.0,6.0,dendrite-only,543107198.0,5753.0,/external/mousecelltypes/prod806/specimen_526573598/min_xy_526573598.aff,7595.0,left,526573598,Ctgf-2A-dgCre;Ai14(IVSCC)-252900.03.01.01,VISli6b,312782598,6b,"""Laterointermediate area, layer 6b""",VISli,312782574,intact,spiny
positive,,9696.31912162366,976.269034173392,7326.11202715715,,,562296704,Tlx3-Cre_PL56;Ai14-290602,,,Mus musculus,,0.00603356311310627,23.1432779297286,43.2090909090909,0.237072015497481,-50.7500038146973,2.04528,195.312485098839,23.8395913679486,60.0,4.0511459939812,-69.6900177001953,/api/v2/well_known_file_download/565191467,/api/v2/well_known_file_download/565191465,659448864,Tlx3-Cre_PL56,0,0,0,0,,,,,,,,,,,,left,563336705,Tlx3-Cre_PL56;Ai14-290602.04.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,,8900.0,2184.04416863828,2042.07099273198,,,584627949,Htr3a-Cre_NO152;Pvalb-T2A-Dre;Ai66-313946,,,Mus musculus,,0.000913218106094207,65.0843045131897,15.3646875,0.857107865877302,-61.0312538146973,7.60142,214.843779802322,14.9755543137079,150.0,1.49227211727808,-64.2579574584961,/api/v2/well_known_file_download/606111347,/api/v2/well_known_file_download/606111345,646542106,Htr3a-Cre_NO152|Pvalb-T2A-Dre,0,0,0,5,,,,,,,,,,,,right,585740198,Htr3a-Cre_NO152;Pvalb-T2A-Dre;Ai66-313946.04.02.01,VISli6a,312782594,6a,"""Laterointermediate area, layer 6a""",VISli,312782574,NA,sparsely spiny
positive,0.0621753222562957,9208.0,511.712415026113,7751.72999369247,,,592585240,Gad2-IRES-Cre;Ai14-324794,,,Mus musculus,,0.0238448050193178,13.3503121919159,74.9046153846154,0.279481137284776,-47.2812538146973,8.22634666666667,176.562607288361,9.55985006792887,150.0,2.54441602891035,-69.7195434570312,/api/v2/well_known_file_download/606115460,/api/v2/well_known_file_download/606115455,646542050,Gad2-IRES-Cre,0,0,0,2,/api/v2/well_known_file_download/662055072,0.780848026434277,1.01700174825175,165.437596747323,10.0,7.0,full,648087870.0,5739.0,/external/mousecelltypes/prod1165/specimen_594091004/min_xy_594091004.aff,7580.0,left,594091004,Gad2-IRES-Cre;Ai14-324794.03.01.02,VISp1,593,1,"""Primary visual area, layer 1""",VISp,385,NA,aspiny
positive,0.672695868861748,8813.53261801302,1230.53786677566,8134.80744007058,,,418778049,Sst-IRES-Cre;Ai14(IVSCC)-179870,,,Mus musculus,,0.0361738299881702,25.1417531741464,39.7744736842105,0.272144673314158,-56.0625,1.691635,476.562440395355,38.7466495976794,30.0000019073486,2.08763124465058,-66.9524688720703,/api/v2/well_known_file_download/491383007,/api/v2/well_known_file_download/487634496,491202406,Sst-IRES-Cre,2,1,1,2,/api/v2/well_known_file_download/487661112,0.889788926997466,0.965117742351973,155.95979003833,12.0,4.0,dendrite-only,491120346.0,7596.0,/external/mousecelltypes/prod312/specimen_466664172/min_xy_466664172.aff,5770.0,left,466664172,Sst-IRES-Cre;Ai14-179870.04.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.94501463865688,8557.22884119046,1443.87135612829,8176.92341053288,,,469953249,Ntsr1-Cre;Ai14(GSL)-181184,,,Mus musculus,,0.109118860693538,10.5140309743353,95.111,0.201461044249755,-41.8125,6.66170833333333,191.406175494194,15.4400532290821,150.0,2.71433835394067,-71.1436080932617,/api/v2/well_known_file_download/491376519,/api/v2/well_known_file_download/487614823,496895076,Ntsr1-Cre_GN220,1,0,1,2,/api/v2/well_known_file_download/487660415,0.854840824704531,0.857063748848524,849.961878546203,31.0,5.0,dendrite-only,492413320.0,11285.0,/external/mousecelltypes/prod324/specimen_471789504/min_xy_471789504.aff,5802.0,left,471789504,Ntsr1-Cre;Ai14-181184.05.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,intact,spiny
positive,0.427781800287961,8602.8853794941,1163.0482352841,8518.8704021734,,,486739976,Pvalb-IRES-Cre;Ai14-209764,,,Mus musculus,,-0.000460815579581169,108.51108722081,9.21564814814815,2.14485273690093,-63.9687538146973,11.1781633333333,92.5221890211105,5.04859200515852,509.999969482422,1.21679944152212,-77.2041091918945,/api/v2/well_known_file_download/491515460,/api/v2/well_known_file_download/488686494,496604385,Pvalb-IRES-Cre,0,0,0,0,,,,,,,,,,,,left,488685185,Pvalb-IRES-Cre;Ai14-209764.04.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,NA,aspiny
positive,,9141.88599155552,1364.31912742739,3213.43553780195,,,574668461,Vip-IRES-Cre;Ai14-307364,,,Mus musculus,,0.0164936238327916,35.2660512394979,28.3558823529412,0.275485960589916,-45.15625,3.2501,273.281216621399,16.3931336805637,30.0,3.80782717006789,-64.7906646728516,/api/v2/well_known_file_download/587853546,/api/v2/well_known_file_download/587853543,659449779,Vip-IRES-Cre,0,0,0,2,,,,,,,,,,,,right,575919223,Vip-IRES-Cre;Ai14-307364.03.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
